population_affected,casualty_count,structure_damage_pct,road_accessibility_score,hours_since_last_goods,goods_received_ratio,vulnerability_index,priority_score
694,2,0.0825,0.5,17,0.2508,0.1528,10.97
3838,2,0.1153,1.0,18,0.3188,0.311,12.61
2346,3,0.217,1.0,62,0.1442,0.3471,24.83
2860,3,0.912,0.5,117,0.2693,0.2868,45.23
2482,5,0.2162,0.5,21,0.182,0.4959,27.95
2566,3,0.1501,0.0,93,0.2013,0.1723,50.78
2653,4,0.1616,0.0,5,0.7233,0.1547,42.81
341,3,0.0214,0.0,144,0.6198,0.5278,43.12
2834,8,0.0356,0.0,14,0.1208,0.355,50.84
1087,2,0.1173,1.0,22,0.3311,0.214,9.71
1339,1,0.5956,0.0,84,0.3566,0.4381,46.82
1997,7,0.2351,0.5,62,0.3387,0.5123,40.87
5696,17,0.4318,1.0,59,0.0878,0.5442,19.72
814,6,0.6933,1.0,77,0.0271,0.4508,15.6
1945,4,0.0128,0.0,93,0.1537,0.2664,50.46
1629,3,0.718,0.0,69,0.3976,0.1771,52.01
3800,1,0.0678,0.5,88,0.5837,0.3646,40.7
1593,5,0.4165,0.0,240,0.0309,0.1537,51.49
2365,1,0.2107,0.5,98,0.4105,0.2884,36.81
816,5,0.0808,0.5,17,0.0848,0.3136,19.25
4245,3,0.0889,0.5,4,0.6375,0.3634,29.24
510,2,0.325,0.0,67,0.1866,0.5778,44.69
2807,0,0.2649,0.0,117,0.4651,0.2577,53.71
2376,4,0.1845,1.0,75,0.1842,0.3864,16.9
2637,2,0.1858,1.0,5,0.8002,0.4797,14.59
517,3,0.1027,0.5,0,0.3121,0.338,17.8
1566,1,0.3951,0.5,15,0.1749,0.4042,26.63
3674,1,0.1015,0.5,23,0.0072,0.1518,29.74
6266,12,0.1826,0.0,38,0.2539,0.3106,62.74
1834,3,0.141,1.0,10,0.5435,0.0882,12.76
3438,1,0.1607,0.0,1,0.6821,0.2069,40.51
2209,2,0.1414,0.5,58,0.3971,0.3374,32.27
1909,1,0.2641,0.0,230,0.1599,0.5126,65.29
1424,2,0.1085,1.0,3,0.366,0.4604,10.28
2004,3,0.08,1.0,25,0.0522,0.3124,7.15
3228,2,0.2865,1.0,108,0.2393,0.3401,24.87
3415,2,0.2066,0.5,66,0.269,0.3067,32.54
632,2,0.8384,0.5,10,0.6854,0.3309,25.08
1320,4,0.0544,0.5,53,0.1226,0.119,23.97
778,3,0.0318,1.0,20,0.5427,0.4745,10.86
2081,2,0.2057,0.5,15,0.0177,0.4066,30.07
1522,4,0.074,0.5,44,0.0436,0.5449,24.45
2574,2,0.1639,0.5,26,0.2079,0.3112,22.34
2704,1,0.3466,0.0,21,0.0171,0.2915,53.79
166,2,0.1194,0.5,17,0.1165,0.2276,27.17
1992,2,0.0765,0.0,92,0.3732,0.5182,47.09
4461,2,0.1232,1.0,224,0.1142,0.4095,35.89
1320,3,0.6537,0.5,6,0.2939,0.4299,26.19
1288,2,0.4982,1.0,87,0.2364,0.225,17.25
3949,2,0.87,0.0,130,0.2432,0.3913,59.68
3525,1,0.0696,0.5,15,0.1129,0.175,32.08
855,6,0.1153,0.0,125,0.3852,0.2554,41.84
3289,4,0.2711,1.0,6,0.331,0.4818,9.14
1036,1,0.1338,0.0,240,0.3722,0.3549,50.75
1277,0,0.1912,0.5,105,0.0472,0.0935,35.77
854,0,0.178,0.0,31,0.2537,0.0861,38.17
627,6,0.0495,1.0,3,0.5042,0.244,2.74
2174,5,0.0394,0.0,24,0.4369,0.2306,40.22
535,5,0.8559,0.5,94,0.329,0.5258,34.12
2241,2,0.0219,0.0,53,0.2809,0.5144,36.57
2189,4,0.1129,0.5,11,0.9436,0.5792,30.71
1771,5,0.8393,0.0,95,0.4675,0.47,52.83
1372,2,0.0194,0.5,40,0.2501,0.2272,31.87
1158,2,0.2391,0.0,101,0.5921,0.3573,38.72
756,5,0.0366,1.0,169,0.6065,0.4403,23.5
5178,26,0.2472,0.5,129,0.3597,0.492,41.8
1710,1,0.4217,0.5,78,0.291,0.4274,44.57
1665,1,0.0641,0.0,124,0.4421,0.5662,39.4
892,3,0.8641,0.0,38,0.1845,0.1396,55.72
4818,3,0.0547,1.0,49,0.0599,0.4993,19.2
1221,2,0.2428,1.0,149,0.504,0.2857,19.32
2401,2,0.1853,0.5,5,0.5061,0.5718,28.54
2747,2,0.0747,1.0,47,0.1662,0.5043,10.25
2175,5,0.4805,0.0,77,0.3005,0.5141,54.6
521,1,0.1034,1.0,10,0.4115,0.1028,9.98
3192,5,0.0587,0.5,11,0.757,0.2976,26.08
1211,0,0.1456,1.0,40,0.4991,0.2513,10.52
3501,2,0.0807,1.0,2,0.3745,0.5471,21.44
1897,5,0.5916,0.0,187,0.3521,0.4296,63.06
2868,5,0.0218,0.5,22,0.0077,0.5482,25.94
4606,3,0.0303,1.0,8,0.3496,0.5505,18.08
3110,1,0.0184,0.0,123,0.5814,0.2625,45.85
2917,2,0.1683,0.5,3,0.606,0.2304,21.06
3293,1,0.0609,0.5,56,0.0967,0.3126,33.26
1004,0,0.0646,0.5,3,0.3443,0.4236,16.29
3604,3,0.042,0.5,103,0.136,0.1707,35.61
1607,0,0.1545,1.0,82,0.3235,0.3627,17.91
1650,4,0.1846,1.0,13,0.1649,0.3015,21.08
2124,3,0.2174,0.5,2,0.3199,0.4437,29.18
1490,6,0.2721,1.0,46,0.2497,0.4598,8.44
826,6,0.3163,0.0,4,0.5924,0.359,33.29
2004,3,0.5255,0.0,240,0.1545,0.1094,71.38
1656,3,0.8068,0.0,106,0.2014,0.5378,51.17
1609,4,0.0592,0.5,17,0.1111,0.3427,18.55
1851,4,0.1535,0.5,138,0.3499,0.2664,31.16
192,4,0.1226,0.0,83,0.3929,0.3918,47.77
1619,2,0.0121,0.5,151,0.1599,0.2991,36.2
4994,4,0.3636,0.5,31,0.0688,0.1691,38.26
4733,4,0.3876,0.5,30,0.3828,0.2836,33.62
2058,3,0.0914,0.5,14,0.2406,0.5059,20.86
2005,5,0.4634,0.5,1,0.5365,0.5196,19.06
129,5,0.6821,1.0,42,0.8088,0.5707,9.93
1271,5,0.2108,1.0,24,0.1091,0.334,13.43
3270,4,0.2249,1.0,13,0.6134,0.1568,6.4
1461,2,0.2867,1.0,74,0.1178,0.3491,21.38
4058,3,0.2644,1.0,78,0.2881,0.2469,15.46
3892,3,0.3191,0.0,124,0.1834,0.6088,47.69
1250,3,0.9557,0.5,136,0.2771,0.2812,41.29
2176,3,0.1264,0.5,38,0.5891,0.4369,31.05
5259,19,0.5546,0.0,50,0.3097,0.1902,65.56
509,1,0.3262,0.5,26,0.1586,0.4001,17.63
1488,2,0.7478,0.0,40,0.1712,0.3419,54.25
455,2,0.0129,0.5,34,0.3105,0.522,24.94
940,4,0.1092,1.0,13,0.0938,0.3091,6.94
6291,15,0.0789,0.5,4,0.9221,0.3452,37.55
1487,0,0.3345,1.0,117,0.1819,0.3699,26.06
261,4,0.163,1.0,11,0.796,0.2009,0.0
818,2,0.6486,1.0,1,0.5915,0.2262,7.79
404,4,0.1552,0.0,21,0.0759,0.4625,38.0
2239,4,0.5103,1.0,34,0.3911,0.5303,19.78
2718,3,0.7395,0.0,40,0.2211,0.3551,56.75
3637,0,0.0722,1.0,27,0.173,0.2922,13.44
3149,1,0.1665,0.0,5,0.4122,0.2093,39.01
535,2,0.2175,0.0,52,0.4737,0.5338,43.9
2621,1,0.0915,0.5,38,0.0356,0.455,27.82
1789,4,0.6717,1.0,45,0.2464,0.2945,7.13
4002,6,0.5917,1.0,56,0.1867,0.377,25.95
3401,2,0.0135,0.5,26,0.1069,0.2105,33.07
6833,16,0.5827,1.0,45,0.1922,0.3668,36.14
880,4,0.2769,0.0,229,0.2276,0.1789,52.59
767,4,0.2401,1.0,75,0.38,0.1732,17.46
1337,4,0.1297,0.5,33,0.2636,0.3767,34.73
1845,7,0.1461,1.0,4,0.4214,0.4244,24.18
1126,0,0.0896,1.0,15,0.3978,0.4639,10.04
923,3,0.3754,0.5,153,0.1257,0.3505,43.25
2497,6,0.0977,0.5,30,0.2872,0.3277,24.23
1333,1,0.1761,0.5,14,0.0633,0.294,19.31
1085,4,0.683,1.0,5,0.55,0.274,17.22
534,1,0.1442,0.5,34,0.2267,0.4394,14.61
147,3,0.9237,1.0,48,0.0419,0.5354,19.34
4834,5,0.3111,1.0,65,0.144,0.3891,30.16
4739,1,0.0479,0.5,29,0.4606,0.291,32.79
3473,3,0.0817,0.5,50,0.4223,0.5139,34.48
2926,2,0.7394,0.5,17,0.167,0.4013,32.49
1233,3,0.7246,0.0,19,0.6823,0.3915,41.32
3011,3,0.166,1.0,42,0.4496,0.1707,24.82
716,3,0.7547,0.0,29,0.385,0.3657,50.86
2137,0,0.2882,1.0,12,0.0776,0.455,16.15
1006,1,0.3333,0.5,21,0.1262,0.2956,26.11
3020,3,0.0834,1.0,81,0.1225,0.5767,16.26
5496,24,0.0786,0.5,5,0.8977,0.2986,40.25
815,4,0.1302,0.5,44,0.2899,0.2999,25.25
1285,4,0.3438,0.0,91,0.0813,0.2226,49.19
2107,4,0.0503,1.0,22,0.4559,0.197,13.57
303,2,0.1612,0.5,44,0.3314,0.2231,25.85
426,2,0.0298,0.5,21,0.4401,0.426,29.96
5390,19,0.0159,1.0,5,0.2679,0.3141,14.2
2505,2,0.0327,0.5,105,0.3632,0.4192,33.33
1175,6,0.7835,0.0,6,0.2811,0.142,55.63
1940,4,0.0723,0.0,88,0.2179,0.4525,52.09
1342,6,0.0633,0.5,8,0.7151,0.4625,22.86
2154,2,0.0601,0.0,31,0.3167,0.2766,45.21
1384,5,0.8279,0.5,10,0.1602,0.4498,31.68
1826,4,0.2189,0.0,145,0.2293,0.2482,60.01
3211,1,0.1714,0.5,14,0.1786,0.4109,32.01
3067,0,0.8493,0.5,3,0.4436,0.3942,26.23
5190,11,0.7906,0.5,13,0.1409,0.2267,41.37
2635,2,0.1541,0.5,28,0.0177,0.1671,30.48
2036,2,0.1746,0.5,42,0.4494,0.5179,30.38
5706,17,0.2145,0.5,14,0.0292,0.4132,41.02
1680,3,0.1097,1.0,14,0.3773,0.17,12.16
169,3,0.0629,0.5,45,0.5889,0.2413,25.49
3503,3,0.0085,1.0,133,0.5567,0.4289,17.93
2413,0,0.0321,0.5,9,0.4446,0.2604,20.75
1964,1,0.0922,0.5,116,0.0798,0.1943,32.17
3567,4,0.0878,1.0,38,0.4074,0.5432,16.27
1394,1,0.0323,0.0,129,0.0763,0.2296,46.96
182,4,0.2625,1.0,49,0.0928,0.3559,18.67
3616,3,0.277,0.5,11,0.2419,0.3182,24.83
1140,3,0.7066,0.0,179,0.3703,0.3859,48.96
846,1,0.1195,0.5,16,0.6586,0.21,31.03
196,0,0.6095,1.0,47,0.1443,0.5431,10.08
3409,6,0.2941,0.0,27,0.2162,0.2284,52.52
92,5,0.5698,0.0,97,0.1717,0.3392,52.62
4582,3,0.3084,1.0,17,0.0649,0.3075,13.76
1508,4,0.7947,0.5,53,0.1948,0.5023,34.32
3523,3,0.5296,0.0,1,0.357,0.1486,43.29
2693,2,0.1975,0.0,23,0.1065,0.4306,45.63
6406,9,0.0212,0.5,53,0.3297,0.2277,34.01
2640,5,0.0996,0.5,47,0.0612,0.4938,30.92
4469,5,0.1965,0.5,16,0.1387,0.205,31.68
1250,2,0.2878,1.0,7,0.9009,0.2548,12.64
424,2,0.3346,0.0,1,0.6262,0.3115,34.84
3904,2,0.0192,0.0,25,0.1743,0.261,38.95
410,3,0.0916,0.0,105,0.0286,0.2996,43.72
3383,2,0.0343,0.5,96,0.4171,0.3944,35.26
754,3,0.5012,0.0,210,0.1559,0.3619,49.86
2448,7,0.1273,0.5,49,0.4187,0.1862,36.42
6485,15,0.0695,1.0,21,0.5717,0.529,22.86
3202,2,0.8418,0.0,88,0.0654,0.3528,57.36
1686,0,0.7944,1.0,117,0.1907,0.3419,24.27
2738,5,0.2018,1.0,9,0.2824,0.1961,9.5
1289,3,0.2512,0.5,55,0.1627,0.2603,23.95
8136,14,0.1118,1.0,34,0.2976,0.085,22.89
1066,1,0.0609,1.0,4,0.8243,0.465,0.0
1835,1,0.1522,0.5,35,0.5788,0.2628,26.91
3003,4,0.2137,0.5,45,0.078,0.2087,30.94
2597,4,0.222,0.0,105,0.0914,0.2574,43.56
2812,4,0.3877,0.5,7,0.8006,0.1525,23.52
1312,6,0.1044,1.0,40,0.7023,0.2108,14.35
1631,4,0.5076,0.5,9,0.4029,0.151,33.81
3781,4,0.0218,0.5,36,0.0699,0.5418,25.38
3654,3,0.4389,0.5,28,0.5337,0.3135,42.04
2642,1,0.3452,1.0,20,0.0842,0.5892,9.96
4845,6,0.0613,0.0,68,0.1273,0.6159,43.96
3885,4,0.2283,0.5,5,0.2322,0.3935,38.73
3579,3,0.1389,0.0,203,0.0907,0.3805,55.06
401,4,0.3223,1.0,1,0.486,0.4695,16.39
2619,5,0.559,0.5,11,0.67,0.5069,26.72
2287,2,0.1156,0.0,119,0.0066,0.1512,48.61
5261,18,0.8127,0.5,56,0.113,0.4005,40.32
1755,4,0.1468,0.5,39,0.164,0.5335,35.66
2149,0,0.0244,0.0,30,0.6909,0.4166,44.46
744,2,0.2707,1.0,59,0.1258,0.3129,10.45
890,5,0.0509,1.0,41,0.0492,0.4605,12.57
5272,19,0.0588,0.0,103,0.4563,0.3385,61.74
2804,8,0.7226,1.0,145,0.0519,0.3931,28.95
6494,17,0.0798,0.0,78,0.3313,0.415,65.61
1730,5,0.5682,0.0,22,0.2602,0.4029,45.35
514,2,0.0713,0.5,67,0.2537,0.3868,24.55
1538,1,0.0149,0.0,60,0.1449,0.1762,34.22
1330,2,0.1263,0.5,35,0.3395,0.1703,18.82
3280,3,0.0196,0.5,8,0.4112,0.4422,29.4
3189,0,0.3193,0.0,236,0.2135,0.3197,62.82
2905,5,0.3795,1.0,4,0.6115,0.3076,17.22
7824,16,0.0975,0.5,8,0.4931,0.4749,36.77
4658,2,0.2607,0.5,4,0.6617,0.3973,20.52
949,1,0.0529,0.0,131,0.0121,0.3342,45.89
3972,5,0.1087,1.0,147,0.1498,0.5792,37.52
2043,4,0.1415,0.0,240,0.0312,0.2535,56.32
1692,1,0.0432,0.0,58,0.2752,0.2368,41.93
5050,15,0.0053,1.0,5,0.5521,0.156,5.42
894,5,0.1792,0.0,18,0.463,0.5296,38.01
3793,7,0.1298,1.0,29,0.3386,0.2188,14.37
3391,6,0.1789,0.5,28,0.3856,0.349,32.49
878,5,0.1973,1.0,11,0.7204,0.2369,6.65
385,1,0.5518,0.0,47,0.1842,0.5311,36.74
1873,4,0.4905,1.0,21,0.752,0.2871,9.3
4287,6,0.0282,0.0,56,0.241,0.2069,47.59
2612,4,0.2537,0.0,6,0.5763,0.3229,36.54
5159,27,0.5344,1.0,55,0.2373,0.3701,26.1
2483,4,0.1258,0.0,240,0.0776,0.4391,67.15
5389,18,0.206,0.5,37,0.2872,0.0965,35.89
1214,2,0.0976,0.5,48,0.6071,0.3948,27.76
2898,3,0.2952,0.0,4,0.5007,0.209,40.75
1448,3,0.7371,0.0,129,0.0882,0.3051,48.96
1828,2,0.1372,0.5,12,0.6795,0.2069,21.38
2143,6,0.7127,0.5,15,0.0858,0.3225,34.52
2606,4,0.0414,0.5,98,0.334,0.3646,42.26
1074,0,0.9447,1.0,68,0.1017,0.4117,15.98
2800,1,0.0472,0.5,35,0.3873,0.19,26.06
2063,6,0.0637,0.5,0,0.6525,0.4848,29.25
546,8,0.1437,0.0,45,0.0175,0.198,50.44
321,1,0.1583,0.5,15,0.204,0.4509,19.84
4298,1,0.9562,0.0,111,0.0302,0.4646,59.06
1758,1,0.7488,0.5,23,0.2135,0.3805,36.19
485,4,0.1373,0.0,70,0.063,0.4332,47.32
5977,14,0.7306,1.0,144,0.2441,0.5884,43.81
3005,5,0.7133,0.0,28,0.013,0.3873,56.46
2555,3,0.4505,0.0,83,0.4645,0.1802,51.72
989,1,0.148,0.0,240,0.1779,0.2055,57.95
537,1,0.1796,0.5,53,0.56,0.2331,21.35
2289,1,0.0955,0.5,94,0.3541,0.1608,29.76
1965,2,0.9754,0.5,211,0.3948,0.1586,46.67
756,4,0.0966,1.0,54,0.3376,0.275,17.98
730,4,0.8638,0.5,8,0.875,0.3602,28.23
695,3,0.0536,0.0,240,0.2445,0.3602,58.11
671,2,0.115,1.0,2,0.9195,0.2462,0.0
1180,2,0.6623,1.0,1,0.4856,0.2771,17.26
2556,2,0.0382,0.0,81,0.5675,0.3409,41.23
2876,0,0.0145,0.0,32,0.4033,0.2341,39.24
1933,1,0.2733,0.5,12,0.3525,0.1543,31.51
2212,6,0.002,0.5,8,0.5899,0.457,29.73
2975,2,0.5373,0.5,62,0.6056,0.2858,28.61
227,4,0.2124,0.0,101,0.0473,0.3059,41.8
2343,7,0.0312,1.0,80,0.0734,0.454,18.23
4798,1,0.1538,0.5,7,0.9584,0.1786,23.13
1722,5,0.2801,1.0,56,0.4893,0.4395,8.25
4180,2,0.0385,0.0,66,0.2574,0.1307,43.37
1747,1,0.3594,0.5,0,0.6385,0.2985,9.89
3116,2,0.1698,1.0,56,0.073,0.1674,20.94
2518,1,0.084,0.0,9,0.7058,0.1625,41.99
683,0,0.1453,0.5,78,0.0911,0.2808,35.33
851,3,0.1417,0.0,190,0.1102,0.1856,55.76
5388,25,0.0329,0.5,98,0.2417,0.222,42.35
3603,3,0.0276,1.0,72,0.2336,0.3956,23.08
1841,5,0.76,0.5,28,0.063,0.5399,30.79
1655,4,0.0259,1.0,6,0.3196,0.2177,2.18
995,3,0.1148,0.0,187,0.3187,0.2844,52.49
2677,2,0.1322,1.0,5,0.3709,0.3964,12.69
1074,3,0.0745,0.5,35,0.4432,0.3734,21.08
1485,6,0.5255,0.0,234,0.1707,0.6125,59.01
1175,7,0.2731,1.0,20,0.2401,0.4352,11.43
3449,2,0.1607,0.0,96,0.4925,0.1308,50.51
1782,5,0.1876,0.0,212,0.324,0.53,58.15
2224,1,0.4153,1.0,73,0.147,0.1578,30.68
697,4,0.3243,0.0,21,0.2278,0.2951,40.77
1168,0,0.2446,0.0,95,0.5958,0.2341,47.89
2261,3,0.9607,0.0,15,0.0944,0.447,41.91
411,3,0.4416,1.0,3,0.7737,0.4592,11.17
1678,1,0.3091,0.0,105,0.3633,0.5439,46.39
1980,2,0.1148,0.5,119,0.0739,0.2367,34.5
612,4,0.0982,0.0,138,0.1689,0.4963,58.53
4054,5,0.1793,0.5,111,0.4515,0.5245,36.8
2584,2,0.0792,0.0,240,0.4151,0.4402,53.06
1772,4,0.0642,1.0,119,0.295,0.3334,13.42
1096,3,0.2513,1.0,14,0.1933,0.4272,11.87
393,3,0.1075,1.0,48,0.3537,0.2844,11.04
3844,3,0.0898,1.0,46,0.0212,0.3746,17.87
1374,1,0.0244,0.5,9,0.8358,0.387,14.13
514,2,0.1158,0.0,88,0.5664,0.2374,52.69
1069,1,0.6056,0.5,18,0.2028,0.3078,35.06
2786,3,0.0747,0.5,56,0.3351,0.4947,31.19
2392,1,0.2072,0.5,20,0.0787,0.4976,20.38
760,4,0.0378,0.0,39,0.4322,0.2314,47.68
4317,4,0.0044,1.0,85,0.0976,0.2374,26.29
507,6,0.1525,0.0,61,0.3088,0.5105,44.87
4928,5,0.0809,0.5,59,0.1158,0.4352,42.06
2318,3,0.6393,1.0,93,0.4317,0.3161,18.97
1462,3,0.8875,0.0,1,0.4875,0.5398,39.98
1633,1,0.0692,0.0,66,0.1569,0.1386,43.85
2124,6,0.7425,0.0,135,0.3923,0.2422,49.04
2942,4,0.2047,0.5,14,0.1471,0.4154,23.79
317,3,0.2808,0.5,37,0.089,0.4288,30.0
1038,1,0.8908,1.0,7,0.7311,0.2107,12.85
2072,4,0.2197,1.0,25,0.323,0.4245,6.34
4429,2,0.0786,1.0,44,0.1624,0.5595,15.66
4316,5,0.0581,1.0,2,0.8159,0.2846,5.17
5614,23,0.7623,0.0,240,0.0947,0.4357,76.12
4177,1,0.0404,1.0,30,0.413,0.3479,10.69
969,2,0.8538,0.5,240,0.424,0.4672,53.11
1973,2,0.8564,0.0,186,0.2743,0.2777,59.59
4194,2,0.374,1.0,240,0.1561,0.3454,34.17
3919,4,0.2963,0.5,47,0.1429,0.5355,32.87
1700,0,0.7467,0.0,78,0.1552,0.2857,40.94
2884,5,0.1504,1.0,18,0.2059,0.3481,13.69
1367,2,0.048,0.0,240,0.3546,0.3815,59.8
464,5,0.4998,0.0,6,0.3325,0.324,42.52
1821,3,0.0188,0.0,78,0.2207,0.4374,49.07
1735,2,0.0979,0.5,4,0.8843,0.4921,25.65
1313,3,0.1256,0.0,30,0.0187,0.2454,52.83
2951,1,0.2811,0.0,94,0.1508,0.4619,44.64
1655,0,0.0384,0.5,72,0.5723,0.3536,28.01
2664,3,0.0944,0.0,22,0.0726,0.1897,44.53
3405,2,0.0735,0.5,12,0.2817,0.4538,25.9
8445,13,0.191,0.5,8,0.3451,0.1473,36.89
1845,1,0.2636,0.0,60,0.2542,0.4325,47.46
4471,4,0.3924,0.0,7,0.841,0.177,46.33
2367,4,0.0908,0.0,146,0.2494,0.447,47.89
2469,2,0.0347,0.5,25,0.5279,0.418,16.63
1864,2,0.1431,1.0,17,0.1092,0.3461,8.81
2216,2,0.1979,0.0,155,0.2358,0.2758,49.71
1667,3,0.489,0.0,27,0.2845,0.3989,47.5
3955,2,0.09,0.0,0,0.7818,0.189,35.13
1072,4,0.5101,0.5,20,0.0784,0.2333,28.01
459,4,0.0726,0.5,20,0.086,0.281,15.95
1277,3,0.1582,0.5,41,0.2323,0.3812,19.76
1163,5,0.2463,0.5,47,0.0379,0.3968,26.47
1276,2,0.1002,0.0,195,0.617,0.1634,50.94
1788,4,0.0097,0.5,77,0.3656,0.3338,25.89
1280,1,0.6988,1.0,8,0.748,0.5371,12.22
1768,3,0.0123,0.0,30,0.4198,0.2754,31.67
1283,5,0.036,0.5,3,0.4219,0.2758,22.19
2705,2,0.0208,0.5,37,0.3317,0.3264,26.39
8395,21,0.6612,0.0,233,0.2479,0.3147,73.23
2332,5,0.2436,1.0,41,0.323,0.2474,16.29
1328,1,0.027,0.0,240,0.2849,0.5177,46.5
127,4,0.1974,0.0,219,0.3933,0.3818,52.16
6633,17,0.0433,0.5,68,0.6435,0.4819,45.79
2430,5,0.0505,1.0,15,0.5509,0.4839,0.28
1756,3,0.2413,0.0,240,0.0579,0.3398,64.49
140,2,0.3725,0.5,2,0.4924,0.3696,16.69
1829,1,0.9267,0.0,240,0.4137,0.612,62.19
2202,4,0.1277,0.5,70,0.2079,0.2682,38.5
1287,3,0.0266,0.5,65,0.1185,0.5113,26.19
560,4,0.7375,0.5,157,0.4273,0.5693,48.96
522,4,0.0536,1.0,67,0.4627,0.2114,10.11
6702,11,0.1168,0.5,8,0.6224,0.1543,34.33
2155,1,0.2118,0.0,240,0.1991,0.3643,64.29
1287,6,0.0359,1.0,16,0.4759,0.4372,12.81
2058,2,0.1468,0.0,34,0.2141,0.2675,43.15
1952,3,0.2778,0.5,63,0.1485,0.3769,29.43
494,7,0.0458,0.5,95,0.7857,0.4907,22.05
3777,1,0.1059,1.0,52,0.2985,0.2509,8.02
1720,5,0.0205,0.5,16,0.0119,0.385,33.49
2177,1,0.7996,0.5,175,0.1333,0.2108,52.7
5272,19,0.1334,0.5,13,0.2312,0.2191,37.72
578,4,0.1008,0.5,13,0.3067,0.4231,15.0
1023,1,0.144,1.0,121,0.1489,0.5157,14.53
2526,1,0.5139,0.0,166,0.4089,0.3462,51.95
3726,4,0.0933,0.0,29,0.4672,0.5126,42.24
1186,5,0.2042,0.5,1,0.7385,0.5191,19.32
1245,2,0.137,0.0,102,0.4081,0.2347,48.34
3140,1,0.176,1.0,18,0.1501,0.3968,14.47
7971,20,0.0524,0.5,221,0.2265,0.4211,66.99
2111,5,0.7912,0.5,23,0.2052,0.5201,32.01
1021,2,0.2554,0.5,55,0.5169,0.2149,27.9
768,3,0.067,1.0,16,0.3113,0.3965,12.29
1784,5,0.8099,0.5,0,0.5615,0.4472,35.11
3608,1,0.6915,0.0,25,0.1751,0.3153,42.2
10273,17,0.0963,0.5,36,0.3185,0.2337,48.25
1555,0,0.7247,1.0,63,0.1394,0.5092,19.34
2113,3,0.0699,1.0,61,0.0891,0.186,16.37
5978,23,0.3347,0.5,26,0.1787,0.4783,43.0
2496,7,0.3641,0.5,4,0.2736,0.4145,38.48
2344,4,0.211,0.5,5,0.5102,0.1461,20.93
5228,22,0.645,0.5,46,0.4111,0.2596,39.1
2151,5,0.1486,0.5,109,0.0819,0.4021,32.08
830,4,0.0885,0.0,77,0.3483,0.2015,42.24
4528,3,0.9599,0.0,3,0.5796,0.1497,50.56
408,2,0.1154,0.5,19,0.617,0.2922,19.31
4021,2,0.064,0.5,15,0.462,0.4539,33.01
1987,5,0.4777,0.0,21,0.2128,0.2858,45.32
1569,0,0.1542,1.0,36,0.151,0.4431,11.09
1536,4,0.0389,0.0,54,0.3178,0.4074,36.64
1779,4,0.037,1.0,13,0.3858,0.2601,18.66
1389,1,0.1651,1.0,34,0.0957,0.1413,10.77
2766,3,0.709,1.0,17,0.7833,0.5249,23.81
1430,1,0.0298,1.0,120,0.3237,0.3353,13.72
1999,4,0.1311,1.0,6,0.4072,0.3086,14.3
235,5,0.0719,0.5,27,0.4671,0.3542,21.05
1988,4,0.6997,0.5,50,0.2643,0.2367,42.8
1366,4,0.0337,1.0,11,0.8182,0.5732,13.49
3820,7,0.106,0.5,14,0.4996,0.3774,34.13
1622,1,0.0659,0.5,91,0.1427,0.6015,27.92
3444,4,0.0443,0.0,36,0.1593,0.1301,54.35
3173,0,0.9087,0.5,16,0.1883,0.3056,43.24
3235,2,0.0471,0.0,28,0.4429,0.1482,39.87
1669,2,0.0609,0.5,78,0.1326,0.5048,31.56
2090,3,0.8513,0.5,110,0.1259,0.3667,45.18
2713,4,0.0332,0.0,240,0.0408,0.3164,51.69
2139,2,0.1335,0.5,34,0.3447,0.1339,32.22
1625,4,0.2168,1.0,8,0.8306,0.1492,13.33
903,1,0.2033,1.0,120,0.239,0.5587,15.54
2017,4,0.0243,0.0,104,0.0741,0.5455,38.58
461,1,0.1218,0.0,240,0.1402,0.2965,58.24
212,3,0.0275,1.0,115,0.1178,0.4265,10.79
719,2,0.5392,0.5,5,0.5994,0.2306,16.28
3209,3,0.237,0.5,67,0.2548,0.5465,35.79
2380,4,0.5575,0.5,5,0.5627,0.2306,34.85
3232,6,0.1515,1.0,4,0.3449,0.0931,11.65
1108,5,0.025,0.0,1,0.2195,0.3594,44.71
4091,4,0.2736,0.5,16,0.3307,0.2181,33.97
522,0,0.083,0.0,6,0.411,0.4461,28.86
746,4,0.8574,1.0,24,0.0659,0.5437,14.67
4043,2,0.043,1.0,0,0.8088,0.564,15.93
2253,4,0.2296,0.5,21,0.0133,0.5583,27.13
3246,1,0.1853,1.0,0,0.6365,0.2913,13.82
2387,4,0.2491,0.0,76,0.4438,0.1115,44.79
1249,3,0.071,1.0,34,0.6212,0.1482,12.54
661,2,0.1127,1.0,15,0.068,0.4122,11.36
294,6,0.2037,1.0,5,0.2851,0.2826,7.92
6315,17,0.8623,0.5,50,0.2127,0.3989,51.31
390,4,0.0824,0.0,24,0.4155,0.3557,27.89
5111,11,0.2176,0.0,20,0.3211,0.4138,45.46
2161,3,0.1649,0.0,190,0.1151,0.2016,54.07
2442,1,0.7851,1.0,12,0.3167,0.3819,21.59
2325,3,0.4173,0.5,10,0.7355,0.1976,18.96
2964,5,0.8666,0.5,52,0.5922,0.1159,35.46
1015,3,0.0456,0.0,17,0.633,0.5159,39.57
174,3,0.1863,0.5,38,0.1181,0.4614,27.59
1227,4,0.1284,0.5,17,0.3476,0.4951,25.06
